id_soal,soal,pilihan1,pilihan2,pilihan3,.
12,"Ketika saya mendengarkan pertunjukan sebuah band, saya tidak bisa:",melihat anggota band dan orang lain di antara para penonton.,mendengarkan lirik dan nada,terbawa dalam suasana dan musik.,.
13,"Ketika saya berkonsentrasi, saya paling sering",fokus pada kata-kata atau gambar-gambar di depan saya.,membahas masalah dan memikirkan solusi yang mungkin dapat dilakukan.,"banyak melihat hal di sekitar, mencatat yang diperlukan.",.
14,Saya memilih peralatan rumah tangga karena saya suka:,warnanya dan bagaimana penampilannya,paparan dari pramuniaga.,tekstur peralatan tersebut dan bagaimana rasanya menyentuhnya.,.
15,Memori pertama saya terbentuk ketika:,melihat sesuatu.,sedang membicarakannya.,melakukan sesuatu,.
16,"Ketika saya cemas, saya:",membayangkan skenario terburuk.,memikirkan apa yang paling mengkhawatirkan saya.,"tidak dapat duduk tenang, mondar-mandir.",.
17,"Saya dapat mengingat orang lain, karena:",penampilan mereka.,apa yang mereka katakan kepada saya.,bagaimana mereka membuat saya mampu mengingatkan saya tentang mereka.,.
18,"Ketika saya harus merevisi untuk ujian, saya biasanya:",menulis banyak catatan revisi dan diagram.,"menekuni catatan saya sendiri, atau membahasnya dengan orang lain.",membayangkan membuat kemajuan belajar atau menciptakan rumus/cara yang tepat.,.
19,"Jika saya menjelaskan kepada seseorang, saya cenderung:",menunjukkan kepada mereka apa yang saya maksud.,menjelaskan kepada mereka dengan cara yang memungkinkan sampai mereka paham.,memotivasi mereka untuk mencoba dan menyampaikan ide saya selagi mereka melakukan kegiatan.,.
20,Saya benar-benar suka:,"menonton film, fotografi, melihat seni atau mengamati orang-orang sekitar","mendengarkan musik, radio atau bincang-bincang dengan teman-teman.","berperan serta dalam kegiatan olahraga, atau menikmati makanan yang disajikan.",.
21,"Sebagian besar waktu luang, saya habiskan:",menonton televisi.,berbincang-bincang dengan teman-teman.,melakukan aktivitas fisik atau membuat sesuatu.,.
22,"Ketika pertama kali saya bertemu seseorang yang baru, saya biasanya:",mengatur pertemuan bersama.,berbicara dengan mereka melalui telepon,"mencoba melakukan sesuatu bersama-sama, misalnya suatu kegiatan atau makan bersama.",.
23,Saya memperhatikan orang melalui,tampilannya dan pakaiannya.,suara dan cara berbicaranya.,caranya berdiri dan bergerak.,.
24,"Jika saya marah, saya cenderung untuk:",terus mengingat dan mencari tahu hal yang membuat saya marah.,menyampaikan ke orang-orang sekitar tentang perasaan saya.,membanting pintu atau menunjukkan kemarahan saya dengan cara lainnya,.
25,Saya merasa lebih mudah untuk mengingat:,wajah.,nama.,hal-hal yang telah saya lakukan,.
26,Saya pikir bahwa saya dapat mengetahui apakah seseorang berbohong jika:,mereka menghindari melihat Anda.,perubahan suara mereka.,mereka menunjukkan hal aneh.,.
27,Ketika saya bertemu dengan seorang teman lama:,"Saya berkata ""Senang bertemu denganmu!""","Saya berkata ""Senang mendengar kabar tentangmu!""",Saya memberi mereka pelukan atau jabat tangan,.
28,Saya mengingat hal-hal yang terbaik dengan cara:,menulis catatan atau menyimpan rincian materi print-out,mengatakan dengan suara keras atau mengulang-ulang kata-kata penting dan menghafal kata-kata kunci,melakukan dan mempraktikkan kegiatan atau membayangkan bagaimana suatu hal dilakukan.,.
29,"Jika saya mengeluh tentang barang rusak yang sudah dibeli, saya paling nyaman:",menulis surat,mengontak melalui telepon,mengembalikan ke toko atau menyampaikannya ke kepala kantor,.
30,Saya cenderung mengatakan:,Saya paham apa yang Anda maksud.,Saya mendengar apa yang Anda katakan.,Saya tahu bagaimana Anda merasakannya.,.
